id,name_prompt,prompt,keywords
fc9d169e-cb37-4a6f-ac74-0e373f6369cc,Certificado de tareas,"Redacta un resumen muy escueto con la fecha de creación de este informe, poniendo siempre al principio de dicho resumen la siguiente frase “Informe de fecha” seguido de la fecha del informe, seguido del lugar de asistencia médica o el lugar donde se creó el informe, el servicio médico donde se atiende al paciente y terminando estas indicaciones con dos puntos y seguidos. A continuación redacta un resumen muy escueto con los datos de la empresa y de su representante y los datos del trabajador, y otro resumen muy escueto de la descripción de las tareas realizadas (escribirlo sin poner apartados ni puntos aparte pero remarcando los diferentes apartados, escribirlo con vocabulario y tecnicismo médico. No poner la edad del paciente o de la persona a la que se refiere el informe. Referirse al paciente o a la persona a la que se refiere el informe con la abreviatura Sr. o Sra. delante de su apellido si aparece)","Certificado,tareas,trabajo,incapacidad"
d3d79a5a-fb98-4da9-94a1-152029116d88,Informe de Resultados de Pruebas de Imagen,"Haz una redacción, sin apartados, poniendo siempre al principio de dicho resumen la siguiente frase “Informe de fecha” seguido de la fecha del informe, el motivo de derivación, los datos de la cita solicitada y el informe de derivación absolutamente resumido sin escribir los problemas clínicos del usuario (sin el CIE9) pero si resumiendo al máximo la redacción que viene a continuación del informe, sin alergias ni contraindicaciones, sin traslado en ambulancia y sin mediación activa del usuario. 
Ponerlo con puntos aparte y en orden cronológico
","Informe,pruebas,complementarias,diagnostico"
0000682c-0d2b-480c-af3e-f8a90d7cc550,Informe Resonancia Magnética  Informes Radiológicos,"Haz una redacción, sin apartados, poniendo siempre al principio de dicho resumen la siguiente frase “Informe de fecha” seguido de la fecha del informe, el motivo de derivación, los datos de la cita solicitada, la información clínica y las conclusiones absolutamente resumido. No poner el nombre del médico que lo manda ni la información personal del paciente
Ponerlo con puntos aparte y en orden cronológico. 
Hazlo lo más escueto posible o resúmelo al máximo

","Informe,pruebas,complementarias,diagnostico"
697c95ba-4f3b-49d3-8ad3-60c5b0786239,Hoja de anamnesis,"Diferenciando y separando cada informe redacta una redacción que sea lo más resumida posible de cada apartado que haya en cada informe con la fecha de creación de este informe, poniendo siempre al principio de dicho resumen la siguiente frase “Informe de fecha”, seguido del lugar de asistencia médica o el lugar donde se creó el informe, el servicio médico donde se atiende al paciente y terminando estas indicaciones con dos puntos y seguidos. A continuación redacta un resumen muy sintetizado con los motivo de consulta, antecedentes familiares y personales, enfermedad actual, exploración, pruebas complementarias absolutamente resumidas, juicio clínico y plan de actuación, tratamiento y otras recomendaciones (si no aparece alguno de estos datos no escribirlos). Relacionando los párrafos entre ellos y separándolos con puntos y seguidos (escribirlo con vocabulario y tecnicismo médico. No poner la edad del paciente o de la persona a la que se refiere el informe. Referirse al paciente o a la persona a la que se refiere el informe con la abreviatura Sr. o Sra. delante de su apellido si aparece). 
Escríbelo con el siguiente formato:
1.	17/04/2019 - Hospital Universitario Virgen Macarena (Sevilla)
","Hoja,anamnesis,consulta,especialista,valoración"
322c1143-9dc7-40f0-81b4-3deb2c85d95e,Tratamiento Hoja Informativa de Prescripciones,"Haz una redacción, sin apartados, poniendo siempre al principio de dicho resumen la siguiente frase “Informe de fecha” seguido de la fecha del informe y un resumen de las prescripciones.
Hazlo lo más escueto posible o resúmelo al máximo


","Informe,prescripciones,medicamentos"
fb145d2a-7754-4df1-9dfb-cc0d252df73b,Informe Consulta Evolución,"Diferenciando y separando cada informe redacta una redacción que sea lo más resumida posible de cada apartado que haya en cada informe con la fecha de creación de este informe según orden cronológico, poniendo siempre al principio de dicho resumen la siguiente frase “Informe de fecha”, seguido del lugar de asistencia médica o el lugar donde se creó el informe, el servicio médico donde se atiende al paciente y terminando estas indicaciones con dos puntos y seguidos. 
A continuación redacta un resumen muy sintetizado con los motivo de consulta, antecedentes familiares y personales, enfermedad actual, exploración, anamnesis, pruebas complementarias absolutamente resumidas, juicio clínico y plan de actuación o recomendaciones terapéuticas y revisión  (si no aparece alguno de estos datos no escribirlos). 
Relacionando los párrafos entre ellos y separándolos con puntos y seguidos (escribirlo con vocabulario y tecnicismo médico. No poner la edad del paciente o de la persona a la que se refiere el informe. Referirse al paciente o a la persona a la que se refiere el informe con la abreviatura Sr. o Sra. delante de su apellido si aparece). 
Escríbelo con el siguiente formato:
1.	17/04/2019 - Hospital Universitario Virgen Macarena (Sevilla): 
Hazlo lo más escueto posible o resúmelo al máximo



","Informe,consulta,revisión,patología,evolución"
d988900f-530b-4cee-85e9-8c679f1be491,Informe Médico Forense,"Redacta una redacción que sea lo más resumida posible de cada apartado que haya en cada informe con la fecha de creación de este informe, poniendo siempre al principio de dicho resumen la siguiente frase “Informe de fecha”, seguido del lugar de asistencia médica o el lugar donde se creó el informe, el servicio médico donde se atiende al paciente y terminando estas indicaciones con dos puntos y seguidos. A continuación redacta un resumen muy sintetizado con los datos del informe, motivo de consulta, evolución y comentarios, diagnostico principal, tratamiento y otras recomendaciones (si no aparece alguno de estos datos no escribirlos). Relacionando los párrafos entre ellos y separándolos con puntos y seguidos (escribirlo con vocabulario y tecnicismo médico. No poner la edad del paciente o de la persona a la que se refiere el informe. Referirse al paciente o a la persona a la que se refiere el informe con la abreviatura Sr. o Sra. delante de su apellido si aparece). 
Escríbelo con el siguiente formato:
1. 17/04/2019 - Hospital Universitario Virgen Macarena (Sevilla): Consulta por sospecha de síndrome de apnea e hipopnea durante el sueño. Se recomienda pérdida de peso.
2. 23/04/2019 - SUAP de Brenes (Sevilla): Alta de urgencias por hernia de línea media. Se trató con analgesia y se recomendó acudir a urgencias del hospital.
Hazlo lo más escueto posible

","forense,valoración,limitaciones,secuelas,laboral"
5118d75d-b1fb-4c2d-8d31-7afc6848bb60,Informe Neurología ,"Redacta una redacción que sea lo más resumida posible de cada apartado que haya en cada informe con la fecha de creación de este informe, poniendo siempre al principio de dicho resumen la siguiente frase “Informe de fecha”, seguido del lugar de asistencia médica o el lugar donde se creó el informe, el servicio médico donde se atiende al paciente y terminando estas indicaciones con dos puntos y seguidos. A continuación redacta un resumen muy sintetizado con los datos del informe, antecedentes familiares y personales, motivo de consulta, evolución y comentarios, enfermedad actual, exploración, pruebas complementarias  diagnostico principal, tratamiento y plan de actuación u otras recomendaciones (si no aparece alguno de estos datos no escribirlos). Relacionando los párrafos entre ellos y separándolos con puntos y seguidos (escribirlo con vocabulario y tecnicismo médico. No poner la edad del paciente o de la persona a la que se refiere el informe. Referirse al paciente o a la persona a la que se refiere el informe con la abreviatura Sr. o Sra. delante de su apellido si aparece). 
Escríbelo con el siguiente formato:
1. 17/04/2019 - Hospital Universitario Virgen Macarena (Sevilla): 
2. 23/04/2019 - SUAP de Brenes (Sevilla): 
Hazlo lo más escueto posible
","Informe,consulta,revisión,patología,evolución"
6043c3d2-64d8-4738-b95f-34bb90589f76,Solicitud de Consulta de Asistencia Especializada,"Haz una redacción, sin apartados, poniendo siempre al principio de dicho resumen la siguiente frase “Informe de fecha” seguido de la fecha del informe, el motivo de derivación, los datos de la cita solicitada y el informe de derivación sin escribir los problemas clínicos del usuario (sin el CIE9) pero si resumiendo al máximo la redacción que viene a continuación del informe, sin alergias y contra indicaciones, sin traslado en ambulancia y sin mediación activa del usuario. 
Ponerlo con puntos aparte y en orden cronológico
","Solicitud,consulta,especialista,especialidad"
cd1b8829-15eb-4a2c-bc5d-d6db9cbd561b,Resolución INSS,"Resumen lo más sintetizado que se pueda con la fecha de creación de este informe, poniendo siempre al principio de dicho resumen la siguiente frase “Informe de fecha”, seguido del lugar de asistencia médica o el lugar donde se creó el informe, el servicio médico donde se atiende al paciente y terminando estas indicaciones con dos puntos y seguidos. A continuación redacta un resumen muy sintetizado con el cuadro clínico residual, las limitaciones orgánicas y funcionales y las conclusiones, relacionando los párrafos entre ellos y separándolos con puntos y seguidos (escribirlo con vocabulario y tecnicismo médico. No poner la edad del paciente o de la persona a la que se refiere el informe. Referirse al paciente o a la persona a la que se refiere el informe con la abreviatura Sr. o Sra. delante de su apellido si aparece).
","INSS,resolución,limitaciones,secuelas,laboral"
