id,name_prompt,prompt,keywords
fc9d169e-cb37-4a6f-ac74-0e373f6369cc,certificado tareas,"Redacta un resumen muy escueto con la fecha de creación de este informe, poniendo siempre al principio de dicho resumen la siguiente frase “Informe de fecha” seguido de la fecha del informe, seguido del lugar de asistencia médica o el lugar donde se creó el informe, el servicio médico donde se atiende al paciente y terminando estas indicaciones con dos puntos y seguidos. A continuación redacta un resumen muy escueto con los datos de la empresa y de su representante y los datos del trabajador, y otro resumen muy escueto de la descripción de las tareas realizadas (escribirlo sin poner apartados ni puntos aparte pero remarcando los diferentes apartados, escribirlo con vocabulario y tecnicismo médico. No poner la edad del paciente o de la persona a la que se refiere el informe. Referirse al paciente o a la persona a la que se refiere el informe con la abreviatura Sr. o Sra. delante de su apellido si aparece)","Certificado,tareas,trabajo,incapacidad"
697c95ba-4f3b-49d3-8ad3-60c5b0786239,hoja de anamnesis,"Diferenciando y separando cada informe redacta una redacción que sea lo más resumida posible de cada apartado que haya en cada informe con la fecha de creación de este informe, poniendo siempre al principio de dicho resumen la siguiente frase “Informe de fecha”, seguido del lugar de asistencia médica o el lugar donde se creó el informe, el servicio médico donde se atiende al paciente y terminando estas indicaciones con dos puntos y seguidos. A continuación redacta un resumen muy sintetizado con los motivo de consulta, antecedentes familiares y personales, enfermedad actual, exploración, pruebas complementarias absolutamente resumidas, juicio clínico y plan de actuación (si no aparece alguno de estos datos no escribirlos). Relacionando los párrafos entre ellos y separándolos con puntos y seguidos (escribirlo con vocabulario y tecnicismo médico. No poner la edad del paciente o de la persona a la que se refiere el informe. Referirse al paciente o a la persona a la que se refiere el informe con la abreviatura Sr. o Sra. delante de su apellido si aparece). 
Escríbelo con el siguiente formato:
1.	17/04/2019 - Hospital Universitario Virgen Macarena (Sevilla)
","Hoja,anamnesis,consulta,especialista,valoración"
d3d79a5a-fb98-4da9-94a1-152029116d88,informe de resultados de pruebas de imagen,"Haz una redacción, sin apartados, poniendo siempre al principio de dicho resumen la siguiente frase “Informe de fecha” seguido de la fecha del informe, el motivo de derivación, los datos de la cita solicitada y el informe de derivación absolutamente resumido sin escribir los problemas clínicos del usuario (sin el CIE9) pero si resumiendo al máximo la redacción que viene a continuación del informe, sin alergias ni contraindicaciones, sin traslado en ambulancia y sin mediación activa del usuario. 
Ponerlo con puntos aparte y en orden cronológico
","Informe,pruebas,complementarias,diagnostico"
cd1b8829-15eb-4a2c-bc5d-d6db9cbd561b,resolución inss,"Resumen lo más sintetizado que se pueda con la fecha de creación de este informe, poniendo siempre al principio de dicho resumen la siguiente frase “Informe de fecha”, seguido del lugar de asistencia médica o el lugar donde se creó el informe, el servicio médico donde se atiende al paciente y terminando estas indicaciones con dos puntos y seguidos. A continuación redacta un resumen muy sintetizado con el cuadro clínico residual, las limitaciones orgánicas y funcionales y las conclusiones, relacionando los párrafos entre ellos y separándolos con puntos y seguidos (escribirlo con vocabulario y tecnicismo médico. No poner la edad del paciente o de la persona a la que se refiere el informe. Referirse al paciente o a la persona a la que se refiere el informe con la abreviatura Sr. o Sra. delante de su apellido si aparece).
","INSS,resolución,limitaciones,secuelas,laboral"
add14cb9-561e-4426-9507-b6ec5d4dbcb0,historia de salud resumida clicsalud+,"Resume al máximo que se pueda con la fecha de creación de este informe, poniendo siempre al principio de dicho resumen la siguiente frase “Informe de fecha”, seguido del lugar de asistencia médica o el lugar donde se creó el informe, el servicio médico donde se atiende al paciente y terminando estas indicaciones con dos puntos y seguidos. A continuación redacta un resumen muy sintetizado con los problemas actuales de salud, medicación e informes clínicos, relacionando los párrafos entre ellos y separándolos con puntos y seguidos (escribirlo remarcando los diferentes apartados, con vocabulario y tecnicismo médico. No poner la edad del paciente o de la persona a la que se refiere el informe. Referirse al paciente o a la persona a la que se refiere el informe con la abreviatura Sr. o Sra. delante de su apellido si aparece).
","Historia,salud,informes,clínica,patologías"
f6f2a5a7-0779-45b7-a165-85db50d1807b,binder 1. informe valoracion area psicologica,"Diferenciando y separando cada informe redacta una redacción que sea lo más resumida posible de cada apartado que haya en cada informe con la fecha de creación de este informe, poniendo siempre al principio de dicho resumen la siguiente frase “Informe de fecha”, seguido del lugar de asistencia médica o el lugar donde se creó el informe, el servicio médico donde se atiende al paciente y terminando estas indicaciones con dos puntos y seguidos. A continuación redacta un resumen muy sintetizado con los motivo de consulta, antecedentes familiares y personales, enfermedad actual, exploración, pruebas complementarias absolutamente resumidas, juicio clínico y plan de actuación (si no aparece alguno de estos datos no escribirlos). Relacionando los párrafos entre ellos y separándolos con puntos y seguidos (escribirlo con vocabulario y tecnicismo médico. No poner la edad del paciente o de la persona a la que se refiere el informe. Referirse al paciente o a la persona a la que se refiere el informe con la abreviatura Sr. o Sra. delante de su apellido si aparece). 
Escríbelo con el siguiente formato:
1. 17/04/2019 - Hospital Universitario Virgen Macarena (Sevilla): Consulta por sospecha de síndrome de apnea e hipopnea durante el sueño. Se recomienda pérdida de peso.
2. 23/04/2019 - SUAP de Brenes (Sevilla): Alta de urgencias por hernia de línea media. Se trató con analgesia y se recomendó acudir a urgencias del hospital.
Resúmelo al máximo.

","Valoración,traumatología,psiquiatría,biomecánica,rehabilitación"
3229ef7b-3ff8-46cb-a01b-4f93cb3631a4,inf varios.  informe de aparato locomotor ,"Resume al máximo que se pueda con la fecha de creación de este informe, poniendo siempre al principio de dicho resumen la siguiente frase “Informe de fecha”, seguido del lugar de asistencia médica o el lugar donde se creó el informe, el servicio médico donde se atiende al paciente y terminando estas indicaciones con dos puntos y seguidos. A continuación redacta un resumen muy sintetizado con los datos del antecedentes médicos y quirúrgicos, historia actual, exploración física, pruebas complementarias, diagnóstico y  tratamiento y recomendaciones, relacionando los párrafos entre ellos y separándolos con puntos y seguidos (escribirlo remarcando los diferentes apartados, con vocabulario y tecnicismo médico. No poner la edad del paciente o de la persona a la que se refiere el informe. Referirse al paciente o a la persona a la que se refiere el informe con la abreviatura Sr. o Sra. delante de su apellido si aparece).
Resúmelo todo lo que pueda
","Informes,sintomatología,locomoción,traumatología,evolución"
0000682c-0d2b-480c-af3e-f8a90d7cc550,informe resonancia magnetica  informes radiológicos,"Haz una redacción, sin apartados, poniendo siempre al principio de dicho resumen la siguiente frase “Informe de fecha” seguido de la fecha del informe, el motivo de derivación, los datos de la cita solicitada, la información clínica y las conclusiones absolutamente resumido. No poner el nombre del médico que lo manda ni la información personal del paciente
Ponerlo con puntos aparte y en orden cronológico. 
Hazlo lo más escueto posible o resúmelo al máximo

","Informe,pruebas,complementarias,diagnostico"
7074ccb2-fd3b-4a3a-b608-af3b722a7e7a,informe unidad del dolor hoja de anamnesis,"Redacta una redacción que sea lo más resumida posible de cada apartado que haya en cada informe con la fecha de creación de este informe, poniendo siempre al principio de dicho resumen la siguiente frase “Informe de fecha”, seguido del lugar de asistencia médica o el lugar donde se creó el informe, el servicio médico donde se atiende al paciente y terminando estas indicaciones con dos puntos y seguidos. A continuación redacta un resumen muy sintetizado con los motivo de consulta, antecedentes familiares y personales, enfermedad actual, exploración, pruebas complementarias absolutamente resumidas, juicio clínico y plan de actuación (si no aparece alguno de estos datos no escribirlos). Relacionando los párrafos entre ellos y separándolos con puntos y seguidos (escribirlo con vocabulario y tecnicismo médico. No poner la edad del paciente o de la persona a la que se refiere el informe. Referirse al paciente o a la persona a la que se refiere el informe con la abreviatura Sr. o Sra. delante de su apellido si aparece). 
Escríbelo con el siguiente formato:
1. 17/04/2019 - Hospital Universitario Virgen Macarena (Sevilla): Consulta por sospecha de síndrome de apnea e hipopnea durante el sueño. Se recomienda pérdida de peso.
2. 23/04/2019 - SUAP de Brenes (Sevilla): Alta de urgencias por hernia de línea media. Se trató con analgesia y se recomendó acudir a urgencias del hospital.
Hazlo lo más resumido posible


","Hoja,anamnesis,consulta,especialista,valoración"
cfcf4ba0-37c1-4f5c-9194-e55af6938fef,informe usmc  informe clínico de consulta externa,"Redacta una redacción que sea lo más resumida posible de cada apartado que haya en cada informe con la fecha de creación de este informe, poniendo siempre al principio de dicho resumen la siguiente frase “Informe de fecha”, seguido del lugar de asistencia médica o el lugar donde se creó el informe, el servicio médico donde se atiende al paciente y terminando estas indicaciones con dos puntos y seguidos. A continuación redacta un resumen muy sintetizado con los datos del informe, motivo de consulta, evolución y comentarios, diagnostico principal, tratamiento y otras recomendaciones (si no aparece alguno de estos datos no escribirlos). Relacionando los párrafos entre ellos y separándolos con puntos y seguidos (escribirlo con vocabulario y tecnicismo médico. No poner la edad del paciente o de la persona a la que se refiere el informe. Referirse al paciente o a la persona a la que se refiere el informe con la abreviatura Sr. o Sra. delante de su apellido si aparece).
 Escríbelo con el siguiente formato:
1. 17/04/2019 - Hospital Universitario Virgen Macarena (Sevilla): Consulta por sospecha de síndrome de apnea e hipopnea durante el sueño. Se recomienda pérdida de peso.
2. 23/04/2019 - SUAP de Brenes (Sevilla): Alta de urgencias por hernia de línea media. Se trató con analgesia y se recomendó acudir a urgencias del hospital.
Hazlo lo más escueto posible.
","Informe,consulta,especialista,valoración"
